title,description,appears on,artist,writers,producer,released,streak
White Rabbit,"""White Rabbit"" was a trippy rock & roll bolero written by Airplane vocalist Slick. ""Our parents read us stories like Peter Pan, Alice in Wonderland and The Wizard of Oz,"" Slick said. ""They all have a place where children get drugs, and are able to fly or see an Emerald City or experience extraordinary animals and people… And our parents are suddenly saying, 'Why are you taking drugs?' Well, hello!""",Surrealistic Pillow (RCA),Jefferson Airplane,Grace Slick,Rick Jarrard,"Sept. '67, RCA",10 weeks; No. 8
Since U Been Gone,"Pop gurus Max Martin and Lukasz ""Dr. Luke"" Gottwald wrote this indignant track with Pink in mind, but Clarkson's A&R rep snatched it up for the first-ever American Idol. The result was a career-making hit that gave teen pop a feisty new template. ""I went to see Foo Fighters when I was off in Texas,"" Clarkson said, ""and the first thing Dave Grohl said to me was, 'I love that song!' """,Breakaway (RCA),Kelly Clarkson,"Dr. Luke, Max Martin","Dr. Luke, Martin","Nov. '04, RCA",46 weeks; No. 2
Super Freak,"James wasn't exactly modest about his ambitions. As he declared in 1981, ""I wanna make Paul McCartney white-boy money!"" He got it with the self-described ""punk funk"" of ""Super Freak,"" from his breakthrough album, Street Songs. James enlisted the Temptations for background vocals. The song got a second life when MC Hammer jacked it for the 1990 megasmash ""U Can't Touch This.""",Street Songs (Motown),Rick James,"James, Alonzo Miller",James,"Aug. '81, Gordy",24 weeks; No. 16
Sabotage,"Adam ""MCA"" Yauch came up with the killer fuzz-bass riff at Manhattan's Tin Pan Alley studio, but it wasn't until a year later that the song was finished in L.A. With two weeks to go before Ill Communication was completed, Adam ""Ad-Rock"" Horovitz got all hot and bothered about paparazzi on the mike and came out of the song's breakdown with a scream for the ages.",Ill Communication (Capitol),Beastie Boys,Beastie Boys,"Beastie Boys, Mario Caldato Jr.","May '94, Grand Royal",Did Not Chart
I Want to Know What Love Is,"This gospel-rock hymn featured Dreamgirls star Jennifer Holliday, one of the Thompson Twins and, most notably, the New Jersey Mass Choir. Said Jones, ""I'll always remember them getting in a circle before we did it and everyone saying the Lord's Prayer."" That probably didn't happen for ""Hot Blooded"" — but this soaring ballad became Foreigner's biggest hit.",Agent Provocateur (Atlantic),Foreigner,Mick Jones,"Jones, Alex Sadkin","Nov. '84, Atlantic",21 weeks; No. 1
Last Nite,"Youthful angst on the Lower East Side: Lou Reed vocals and cool confusion, driven by the surging, garage-band sound that would go on to define early-2000s rock. The Strokes supposedly nicked the opening riff from Tom Petty's ""American Girl."" ""I saw an interview with them where they admitted it,"" Petty told Rolling Stone. ""I was like, 'OK, good for you.' It doesn't bother me.""",Is This It (RCA),The Strokes,Julian Casablancas,Gordon Raphael,"Aug. '01, RCA",Did Not Chart
How Soon Is Now?,"Morrissey cribbed lyrics from George Eliot, but guitarist Marr cited another reference: Derek and the Dominos. ""I wanted an intro that was almost as potent as 'Layla,'"" he said. ""When [it] plays in a club or a pub, everyone knows what it is.""",Meat Is Murder (Warner Bros.),The Smiths,"Johnny Marr, Morrissey",John Porter,"Feb. '85, Sire",Did Not Chart
Do Right Woman — Do Right Man,"Franklin disappeared after a 1967 session in Muscle Shoals, Alabama, leaving this simmering ballad unfinished. A few weeks later, she resurfaced in New York. The resulting vocal, said producer Wexler, was ""perfection.""",I Never Loved a Man the Way I Love You (Rhino),Aretha Franklin,"Chips Moman, Dan Penn",Jerry Wexler,"March '67, Atlantic",11 weeks; No. 9
Where Did Our Love Go,"After eight flop singles, the trio were known as the ""No-Hit Supremes."" The Marvelettes — Motown's top girl group at that point — passed on this song, and the Supremes didn't like their own recording. Until it hit Number One, that is. That foot-stomping beat is actually two boards banged together.",The Ultimate Collection (Motown),The Supremes,"Brian Holland, Lamont Dozier, Eddie Holland","Brian Holland, Dozier","June '64, Motown",14 weeks; No. 1
Into the Mystic,"""Into the Mystic"" is one of Morrison's warmest ballads, an Otis Redding-style reverie with acoustic guitar and horns. The lyrics are truly mysterious: ""People say, 'What does this mean?' "" said Morrison. ""A lot of times I have no idea what I mean. That's what I like about rock & roll — the concept. Like Little Richard — what does he mean? You can't take him apart; that's rock & roll to me.""",Moondance (Warner Bros.),Van Morrison,Morrison,Morrison,"March '70, Warner Bros.",Non-Single
Welcome to the Jungle,"Slash's Seventies-metal crunch and Axl's hell-bound shriek brought brutal realism to the L.A. glam-metal scene. ""They're real-life stories, these fuckin' songs,"" bassist Duff McKagan said. ""Jungle"" beckoned listeners into the Gunners' sordid Hollywood milieu, but Rose's inspiration came from getting lost during his first trip to New York.",Appetite for Destruction (Geffen),Guns N' Roses,Guns n' Roses,Mike Clink,"Aug. '87, Geffen",17 weeks; No. 7
Runaway,"As a kid, Shannon got his first guitar for $5. His truck-driver dad wasn't too happy about it. ""'You get that goddamn guitar outta here' — that's the exact words my father used,"" Shannon recalled. ""However, my ma said, 'It's OK, son. You can sing for me.'"" He sang this hit with raw emotion; co-writer Crook played the solo on an early electronic keyboard called the Musitron.",Greatest Hits (Rhino),Del Shannon,"Shannon, Max Crook","Harry Balk, Irving Micahnik","March '61, Big Top",17 weeks; No. 1
Surrender,"Cheap Trick provided the ultimate Seventies teen anthem in ""Surrender,"" with a verse about a kid who catches his parents making out and gets stoned to his Kiss records. Guitarist- songwriter Nielsen's secret? ""I [had] to go back and put myself in the head of a 14-year-old.""",Heaven Tonight (Epic),Cheap Trick,Rick Nielsen,Tom Werman,"May '78, Epic",8 weeks; No. 62
Standing in the Shadows of Love,"Like so many other Motown hits, ""Standing"" features the popping bass of James Jamerson. He was such a monster player, his fellow musicians called him ""Igor""; Marvin Gaye called him a genius.",The Ultimate Collection (Motown),The Four Tops,"Brian Holland, Lamont Dozier, Eddie Holland","Brian Holland, Dozier","Dec. '66, Motown",10 weeks; No. 6
Rain,"The B side of “Paperback Writer” was Lennon‘s response to people moaning about the wet British weather. It featured one of the earliest uses of backward tape, which Lennon said was the result of being stoned and spooling up the tape wrong. It also included virtuoso drumming from Ringo Starr. “I feel as though that was someone else playing,” Starr said. “I was possessed!”",Past Masters (Capitol/Apple),The Beatles,"John Lennon, Paul McCartney",George Martin,"June ’66, Capitol",7 weeks; No. 23
Respect Yourself,"Stax singer Ingram, frustrated with the state of the world, told house songwriter Rice that ""black folk need to learn to respect themselves."" Rice liked the comment so much that he built a funk groove around it, then gave the song to the Staples. ""This is the song I've been waiting [for],"" said producer Bell, who laid it down with the famous Muscle Shoals Rhythm Section.",Bealtitude: Respect Yourself (Stax),The Staple Singers,"Luther Ingram, Mack Rice",Al Bell,"Oct. '71, Stax",14 weeks; No. 12
Big Pimpin,"For this thumping ode to conspicuous consumption, the king of New York rap hooked up with Houston rap dons UGK over a beat that sounds like it was cut in Cairo. Timbaland allegedly based the melody on a 1957 song by Egyptian Abdel Halim Hafez.",Vol. 3: Life and Times of S. Carter (Roc-A-Fella),Jay-Z Featuring UGK,"Jay-Z, Bun B, Pimp C, Timbaland, Kyambo Joshua",Timbaland,"Dec. '99, Roc-A-Fella",20 weeks; No. 18
Get Ur Freak On,"Elliott was convinced that Miss E needed one more track. So Timbaland cooked up a stuttering, tabla-laden beat based on bhangra, an Indian dance genre he heard while traveling, and plucked out the signature six-note riff on a tumbi, a one-stringed Punjabi guitar.",Miss E … So Addictive (Atlantic/ATG),Missy Elliott,"Elliott, Timbaland",Timbaland,"March '01, Gold Mind/Elektra",25 weeks; No. 7
Rollin Stone,"For Chess Records' first single, Waters turned Mississippi bluesman Robert Petway's ""Catfish Blues"" into a spare track he named ""Rollin' Stone."" ""We wouldn't do it exactly like those older fellows,"" Waters said. ""We put the beat with it, put a little drive to it."" The Rolling Stones took their name from it, as did, in part, this magazine.",The Anthology: 1947-1972 (Chess/MCA),Muddy Waters,McKinley Morganfield,Leonard and Phil Chess,"1948, Chess",predates chart
Kiss,"The Paisley Park band Mazarati asked Prince for a song, so he dashed off a bluesy acoustic demo for them. Mazarati added a funk groove, and Prince was smart enough to take the song back.",Parade (Warner Bros.),Prince and the Revolution,Prince and the Revolution,Prince and the Revolution,"Feb. '86, Paisley Park",18 weeks; No. 1
Soul Man,"For the follow-up to ""Hold On, I'm Comin',"" writer-producers Hayes and Porter decided to tinker with their formula: Porter asked singer Sam Moore to give him ""the Bobby Bland squall,"" guitarist Steve Cropper came up with the licks that set up the familiar blast of the Memphis Horns, and — voilà! — another soul classic was born. ""We had no idea how good we were,"" Hayes said of the partnership.",Soul Men (Rhino),Sam and Dave,"Isaac Hayes, David Porter","Hayes, Porter","Sept. '67, Stax",15 weeks; No. 2
All Apologies,"Written in the L.A. apartment Cobain shared with Courtney Love, this haunting meditation on remorse was originally produced by punk malcontent Albini, but then R.E.M. producer Scott Litt was brought in to smooth it out — the original had a long stream of feedback on it. Cobain's shredded vocals maintain the punk edge in the hushed MTV Unplugged in New York rendition.",In Utero (Geffen),Nirvana,Kurt Cobain,Steve Albini,"Sept. '93, Geffen",22 weeks; No. 45
Sheena Is a Punk Rocker,"This was cut twice: first as a single that was rushed to radio and became one of the Ramones' few modest hits, then in a slightly souped-up version for the band's album Rocket to Russia. ""I combined Sheena, Queen of the Jungle, with the primalness of punk rock,"" said Joey Ramone. ""It was funny, because all the girls in New York seemed to change their names to Sheena after that.""",Rocket to Russia (Rhino),Ramones,Ramones,"Tony Bongiovi, T. Erdelyi","May '77, Sire",13 weeks; No. 81
My Sweet Lord,"The first hit for an ex-Beatle, it features Harrison's teardrop slide licks and a melody virtually identical to the Chiffons' ""He's So Fine."" After a lawsuit, Harrison had to pay $587,000 to his former manager Allen Klein, who then owned the rights to ""He's So Fine."" ""It made me so paranoid about writing,"" Harrison said. ""I thought, 'I don't even want to touch the guitar, in case I'm touching somebody's note.'""",All Things Must Pass (Capitol),George Harrison,Harrison,"Harrison, Phil Spector","Nov. '70, Apple",14 weeks; No. 1
Paradise City,"For nearly seven minutes, Axl Rose expounds on the joys of green grass, pretty girls and toxic chemicals. The song was written in the back of a van as the band drove home to L.A. after a gig in San Francisco, with all the members tossing in lines. In a typically tasteful G n' R move, the video has footage of the band's 1988 gig at Castle Donington in the U.K. — where two fans were crushed to death.",Appetite for Destruction (Geffen),Guns N' Roses,Guns n' Roses,Mike Clink,"Aug. '87, Geffen",17 weeks; No. 5
Cupid,"Cooke's producers had asked him to write a song for a girl they had seen on a Perry Como TV show — but once they heard her sing, they kept ""Cupid"" for Cooke to do himself. It was Cooke's idea to drop in the sound of an arrow being fired ""straight to my lover's heart.""",Greatest Hits (RCA),Sam Cooke,Cooke,"Cooke, Hugo and Luigi","July '61, RCA",17 weeks; No. 12
The Twist,"""The Twist"" began as a B side for Ballard and the Midnighters in 1958. But in 1960, former chicken plucker Checker covered it at Dick Clark's suggestion. ""Going crazy is what I was looking for — where the music is so good you lose control,"" Checker said. "" 'The Twist' did that.""",Greatest Hits (Prime Cuts),Chubby Checker,Hank Ballard,Karl Mann,"Aug. '60, Parkway",39 weeks; No. 1
